NAME_x,white,state_x,county_x,tract,YEAR,NAME_y,black,state_y,county_y,NAME,hispanic,state,county,race_total,white_pct,black_pct,hispanic_pct,majority_race
"Census Tract 1605.01, Cook County, Illinois",842,17,31,160501,2020,"Census Tract 1605.01, Cook County, Illinois",185,17,31,"Census Tract 1605.01, Cook County, Illinois",2010,17,31,3037,0.27724728350345734,0.060915377016792886,0.6618373394797498,hispanic
"Census Tract 1605.01, Cook County, Illinois",965,17,31,160501,2021,"Census Tract 1605.01, Cook County, Illinois",410,17,31,"Census Tract 1605.01, Cook County, Illinois",1859,17,31,3234,0.2983920841063698,0.12677798392084105,0.5748299319727891,hispanic
Census Tract 1605.01; Cook County; Illinois,937,17,31,160501,2022,Census Tract 1605.01; Cook County; Illinois,479,17,31,Census Tract 1605.01; Cook County; Illinois,1583,17,31,2999,0.3124374791597199,0.1597199066355452,0.5278426142047349,hispanic
Census Tract 1605.01; Cook County; Illinois,1062,17,31,160501,2023,Census Tract 1605.01; Cook County; Illinois,358,17,31,Census Tract 1605.01; Cook County; Illinois,2058,17,31,3478,0.3053479010925819,0.10293271995399655,0.5917193789534215,hispanic
"Census Tract 1605.02, Cook County, Illinois",907,17,31,160502,2018,"Census Tract 1605.02, Cook County, Illinois",17,17,31,"Census Tract 1605.02, Cook County, Illinois",2610,17,31,3534,0.25664968873797395,0.004810413129598189,0.7385398981324278,hispanic
"Census Tract 1605.02, Cook County, Illinois",1003,17,31,160502,2019,"Census Tract 1605.02, Cook County, Illinois",45,17,31,"Census Tract 1605.02, Cook County, Illinois",2436,17,31,3484,0.28788748564867966,0.012916188289322618,0.6991963260619977,hispanic
"Census Tract 1605.02, Cook County, Illinois",1041,17,31,160502,2020,"Census Tract 1605.02, Cook County, Illinois",50,17,31,"Census Tract 1605.02, Cook County, Illinois",2395,17,31,3486,0.29862306368330466,0.01434308663224326,0.6870338496844521,hispanic
"Census Tract 1605.02, Cook County, Illinois",1110,17,31,160502,2021,"Census Tract 1605.02, Cook County, Illinois",56,17,31,"Census Tract 1605.02, Cook County, Illinois",2361,17,31,3527,0.31471505528778,0.01587751630280692,0.6694074284094131,hispanic
Census Tract 1605.02; Cook County; Illinois,1123,17,31,160502,2022,Census Tract 1605.02; Cook County; Illinois,91,17,31,Census Tract 1605.02; Cook County; Illinois,2205,17,31,3419,0.3284586136297163,0.026615969581749048,0.6449254167885347,hispanic
Census Tract 1605.02; Cook County; Illinois,962,17,31,160502,2023,Census Tract 1605.02; Cook County; Illinois,259,17,31,Census Tract 1605.02; Cook County; Illinois,2038,17,31,3259,0.29518257134090214,0.0794722307456275,0.6253451979134704,hispanic
"Census Tract 1606.01, Cook County, Illinois",1685,17,31,160601,2018,"Census Tract 1606.01, Cook County, Illinois",62,17,31,"Census Tract 1606.01, Cook County, Illinois",1514,17,31,3261,0.5167126648267403,0.019012572830420117,0.4642747623428396,white
"Census Tract 1606.01, Cook County, Illinois",1643,17,31,160601,2019,"Census Tract 1606.01, Cook County, Illinois",96,17,31,"Census Tract 1606.01, Cook County, Illinois",1339,17,31,3078,0.5337881741390513,0.031189083820662766,0.4350227420402859,white
"Census Tract 1606.01, Cook County, Illinois",1779,17,31,160601,2020,"Census Tract 1606.01, Cook County, Illinois",79,17,31,"Census Tract 1606.01, Cook County, Illinois",1096,17,31,2954,0.6022342586323629,0.026743398781313474,0.3710223425863236,white
"Census Tract 1606.01, Cook County, Illinois",1780,17,31,160601,2021,"Census Tract 1606.01, Cook County, Illinois",83,17,31,"Census Tract 1606.01, Cook County, Illinois",1021,17,31,2884,0.6171983356449375,0.028779472954230237,0.3540221914008322,white
Census Tract 1606.01; Cook County; Illinois,1748,17,31,160601,2022,Census Tract 1606.01; Cook County; Illinois,34,17,31,Census Tract 1606.01; Cook County; Illinois,829,17,31,2611,0.6694752968211414,0.013021830716200689,0.31750287246265796,white
Census Tract 1606.01; Cook County; Illinois,1742,17,31,160601,2023,Census Tract 1606.01; Cook County; Illinois,61,17,31,Census Tract 1606.01; Cook County; Illinois,805,17,31,2608,0.6679447852760736,0.02338957055214724,0.30866564417177916,white
"Census Tract 1606.02, Cook County, Illinois",1392,17,31,160602,2018,"Census Tract 1606.02, Cook County, Illinois",109,17,31,"Census Tract 1606.02, Cook County, Illinois",1593,17,31,3094,0.44990303813833227,0.035229476405946994,0.5148674854557207,hispanic
"Census Tract 1606.02, Cook County, Illinois",1394,17,31,160602,2019,"Census Tract 1606.02, Cook County, Illinois",140,17,31,"Census Tract 1606.02, Cook County, Illinois",1692,17,31,3226,0.4321140731556107,0.04339739615623062,0.5244885306881587,hispanic
"Census Tract 1606.02, Cook County, Illinois",1442,17,31,160602,2020,"Census Tract 1606.02, Cook County, Illinois",138,17,31,"Census Tract 1606.02, Cook County, Illinois",1671,17,31,3251,0.4435558289756998,0.04244847739157182,0.5139956936327283,hispanic
"Census Tract 1606.02, Cook County, Illinois",1601,17,31,160602,2021,"Census Tract 1606.02, Cook County, Illinois",84,17,31,"Census Tract 1606.02, Cook County, Illinois",1616,17,31,3301,0.4850045440775523,0.025446834292638595,0.48954862162980917,hispanic
Census Tract 1606.02; Cook County; Illinois,1693,17,31,160602,2022,Census Tract 1606.02; Cook County; Illinois,70,17,31,Census Tract 1606.02; Cook County; Illinois,1435,17,31,3198,0.5293933708567855,0.021888680425265792,0.44871794871794873,white
Census Tract 1606.02; Cook County; Illinois,1767,17,31,160602,2023,Census Tract 1606.02; Cook County; Illinois,15,17,31,Census Tract 1606.02; Cook County; Illinois,1422,17,31,3204,0.5514981273408239,0.0046816479400749065,0.4438202247191011,white
"Census Tract 1607, Cook County, Illinois",2696,17,31,160700,2018,"Census Tract 1607, Cook County, Illinois",205,17,31,"Census Tract 1607, Cook County, Illinois",2561,17,31,5462,0.4935920908092274,0.03753203954595386,0.46887586964481875,white
"Census Tract 1607, Cook County, Illinois",2497,17,31,160700,2019,"Census Tract 1607, Cook County, Illinois",242,17,31,"Census Tract 1607, Cook County, Illinois",2415,17,31,5154,0.4844780752813349,0.04695382227396197,0.46856810244470315,white
"Census Tract 1607, Cook County, Illinois",2384,17,31,160700,2020,"Census Tract 1607, Cook County, Illinois",152,17,31,"Census Tract 1607, Cook County, Illinois",2654,17,31,5190,0.4593448940269749,0.02928709055876686,0.5113680154142581,hispanic
